סמל היישוב,שם יישוב,"מספר מקבלי דמי אבטלה 
(סה""כ שנתי)","אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי)","מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ","מקבלי דמי אבטלה 
(ממוצע חודשי) גברים","אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי)","גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)","דמי אבטלה ממוצעים ליום
(ש""ח)","ימי זכאות לדמי אבטלה
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(ממוצע שנתי)","ניצול ימי אבטלה בשנה 
(חציון שנתי)","מקבלי הכשרה מקצועית
סה""כ","מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",מקבלי גמלאות סיעוד (סוף שנה),מקבלי גמלאות נכות כללית (סוף שנה),מקבלי גמלאות ניידות (סוף שנה),מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית","מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,"מספר ילדים שבגינם שולמו קצבאות סה""כ",מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר
681,גבעת שמואל,891,6.06,262.42,103.25,6.07,40.13,274.36,147.02,70.86,57,..                                                ,"3,490",7.25,86,758,541,78,64,37.20,49.40,8.80,4.50,"3,598","2,024","1,355",219,"8,808","3,081","4,560","1,167"
"6,300",גבעתיים,"2,756",8.19,804.42,353.83,8.19,39.44,297.38,142.17,70.86,60,-                                                 ,"9,327",5.39,159,"2,195","1,279",187,172,39.10,52.10,5.80,2.90,"7,298","5,253","1,985",60,"14,660","8,092","6,232",336
35,גדות,336,7.21,103,40.75,7.28,41.72,269.94,157.75,75.94,62.50,-                                                 ,964,1.66,23,250,181,23,18,73.60,20.60,3.50,2.40,888,533,337,18,"1,985",819,"1,072",94
"1,292",ג'דיידה-מכר,"1,319",10.39,367.58,202.75,10.45,37.39,182.89,137.38,70.02,59,..                                                ,"1,393",33.96,"1,154",550,950,91,75,85.60,1.40,3.70,9.30,"2,960","2,099",813,48,"6,054","3,161","2,646",247
"2,550",גדרה,"1,010",6.22,281.50,115.50,6.30,39.28,253.65,144.56,68.46,54,-                                                 ,"3,022",13.73,270,945,611,63,80,58.20,26.80,14,1.10,"3,250","2,028","1,071",151,"7,444","3,089","3,502",853
485,ג'ולס,325,7.38,98.92,32.08,7.41,37.77,173.15,143.21,76.09,67,-                                                 ,524,10.88,107,170,281,27,23,72.90,0.50,6.80,19.80,886,661,223,..                                                ,"1,698",997,691,10
627,ג'לג'וליה,295,5.03,71,37.67,5.11,37.11,207.44,131.12,60.47,52,-                                                 ,627,22.49,209,300,435,33,24,75.60,16.30,7.30,0.70,"1,548",941,535,72,"3,581","1,428","1,764",389
166,גן יבנה,"1,117",7.69,302.33,118.83,7.84,39.95,233.61,146.09,65.34,52,..                                                ,"2,074",8.63,172,511,594,55,80,41.40,33.40,20.10,5.20,"2,211","1,444",694,73,"4,794","2,108","2,280",406
72,גן שמואל,"1,195",5.81,367.75,174.25,5.94,37.83,258.51,148.98,73.96,67,..                                                ,"1,484",11.19,155,216,561,55,50,42.80,28.50,4.30,24.40,"4,295","1,706","1,474","1,115","14,193","2,545","5,080","6,568"
229,גני תקווה,836,6.66,250.42,100.92,6.78,41.64,294.20,154.39,74.00,61,..                                                ,"3,614",3.93,89,680,453,60,49,41.30,47.60,4.80,6.30,"2,010","1,313",613,84,"4,464","2,013","1,962",489
541,ג'סר א-זרקא,502,6.01,134.92,81.50,6.09,38.91,193.67,146.99,66.39,53,-                                                 ,732,9.29,231,256,891,31,12,82,0.20,2.10,15.70,"2,365","1,256",843,266,"6,249","1,890","2,841","1,518"
39,גפן,450,8.15,123.83,48.58,8.32,37.75,218.43,142.32,67.67,56.50,..                                                ,978,3.07,126,338,283,38,36,66,29.50,3,1.60,"1,291",670,484,137,"3,410","1,008","1,631",771
487,ג'ש (גוש חלב),261,13.51,63.75,23.75,13.57,40.05,194.96,149.65,63.34,52,-                                                 ,364,17.31,28,157,91,7,17,69.70,6.30,4.30,19.70,393,276,114,..                                                ,798,417,365,16
628,ג'ת,368,4.96,107.67,62.08,5.02,38.44,201.63,142.82,73.83,67,-                                                 ,949,12.75,224,544,207,22,23,62.10,1.10,8.80,28,367,155,192,20,"1,018",271,635,112
494,דאלית אל-כרמל,649,5.68,188.83,82.67,5.75,39.35,189.76,141.27,70.79,60,..                                                ,"1,685",22.55,267,545,980,85,122,49.10,9.40,19.60,22,"3,522","2,838",668,16,"6,428","4,247","2,101",80
489,דבורייה,379,5.97,101.17,57.42,6.03,37.47,195.34,140.40,66.90,53,-                                                 ,731,29.55,170,425,478,40,35,69,13.20,17.60,0.10,"1,537",987,522,28,"3,395","1,519","1,723",153
490,דייר אל-אסד,427,5.91,117.25,56.25,5.99,38.24,186.72,140.43,69.30,52,-                                                 ,739,33.56,377,423,339,29,18,77.80,0.50,14.90,6.90,929,424,450,55,"2,471",683,"1,501",287
492,דייר חנא,792,12.19,235.50,136,12.37,38.31,189.33,140.48,76.93,67,-                                                 ,743,38.49,408,469,582,57,51,71.20,0.90,9.20,18.70,"1,517","1,030",467,20,"3,154","1,553","1,496",105
"2,200",דימונה,"2,004",9.16,588.33,217.92,9.29,38.78,199.45,145.04,71.96,59,..                                                ,"5,076",32.58,"2,485","2,016","2,188",164,231,66.70,28.10,0.50,4.70,"6,372","4,033","1,906",433,"14,838","6,006","6,261","2,571"
"9,700",הוד השרון,"2,424",6.89,708.58,289.67,6.89,42.31,294.59,155.04,71.28,60,-                                                 ,"9,418",6.07,220,"1,482","1,557",185,174,45.80,43,9,2.30,"6,612","4,640","1,852",120,"13,594","7,046","5,874",674
"3,769",הר אדר,153,5.99,44.67,19.08,6.02,41.11,279.49,151.61,71.25,57,-                                                 ,503,3.18,16,33,54,7,3,36.50,26.70,34.50,2.30,423,299,122,..                                                ,861,456,395,10
"6,400",הרצלייה,"4,097",7.07,"1,203.25",494.75,7.08,41.26,289.89,152.38,71.46,58,..                                                ,"19,641",6.69,381,"3,335","2,743",344,350,37.30,48.60,10.90,3.20,"12,166","8,673","3,271",222,"24,708","13,088","10,372","1,248"
"9,300",זכרון יעקב,783,6.05,244.67,101.92,6.07,43.02,269.94,157.30,77.37,67,-                                                 ,"3,063",4.37,94,540,515,78,63,40.90,48.70,9.10,1.30,"2,556","1,575",829,152,"6,029","2,365","2,728",936
"1,290",זמר,227,4.97,63.50,31.08,5.06,37.72,207.07,138.84,67.89,54,-                                                 ,519,15.61,142,312,222,18,17,58.80,1.80,12.40,27,981,595,353,33,"2,265",913,"1,171",181
975,זרזיר,329,6.41,97.42,58.42,6.47,38.16,187.80,140.67,73.45,67,-                                                 ,422,28.91,176,180,434,48,17,79.80,3,16.40,0.80,"1,394",804,528,62,"3,341","1,247","1,771",323
"6,500",חדרה,"4,620",7.86,"1,370.50",568.33,7.87,41.24,227.51,153.66,72.82,58,..                                                ,"17,137",21.47,"1,966","5,466","3,882",381,372,52.50,16.40,21.40,9.70,"11,409","7,566","3,334",509,"25,134","11,328","10,830","2,976"
"6,600",חולון,"9,586",9.25,"2,640.58","1,073.25",9.19,41.91,230.64,153.91,67.76,52,..                                                ,"36,628",16.60,"2,453","13,155","7,348",894,748,37.50,52.10,5.30,5.10,"26,014","17,700","7,524",790,"55,397","26,733","24,210","4,454"
"1,303",חורה,323,3.34,89.83,67.67,3.44,35.49,192.25,135.89,69.93,66,-                                                 ,468,54.06,"2,044",227,651,58,26,81.40,0.30,6.90,11.40,"2,396",709,762,925,"9,480","1,031","2,666","5,783"
496,חורפיש,224,5.35,63.42,27.42,5.39,36.20,192.27,128.15,68.13,56.50,-                                                 ,479,11.69,88,181,215,34,11,65.60,1.80,13.20,19.30,"1,015",735,277,..                                                ,"2,010","1,105",890,15
"4,000",חיפה,"9,263",5.60,"2,679.67","1,199",5.60,40.76,227.50,149.87,70.84,58,..                                                ,"57,556",22.35,"6,361","14,018","12,759","1,232","1,224",47.70,39.50,9.30,3.50,"36,339","25,988","8,781","1,570","76,619","38,920","28,199","9,500"
13,חצבה,337,5.15,97.58,43.25,5.16,40.82,258.40,152.57,70.78,61,-                                                 ,"1,926",2.02,45,441,301,36,42,83.90,13.90,0.40,1.80,"1,417",900,494,23,"3,082","1,386","1,577",119
"2,034",חצור הגלילית,622,10.61,171.08,70.75,10.63,38.08,185.66,143.19,68.93,61,-                                                 ,"1,302",18.13,191,416,605,33,51,59.90,25.10,1,13.90,"1,730",971,580,179,"4,476","1,457","1,918","1,101"
"1,247",חריש,"1,741",8.95,525.83,229,9.25,39.03,234.70,149.81,73.12,63,..                                                ,"1,735",24.96,656,422,901,14,14,48.20,29.30,13.50,8.90,484,290,136,58,"1,219",420,457,342
"6,700",טבריה,"2,674",9.87,755.58,322.25,9.93,38.82,191.03,142.97,69.43,60,-                                                 ,"6,914",22.94,"2,051","2,249","3,784",240,192,71.60,8.30,8.20,11.90,"6,965","4,409","2,021",535,"16,361","6,563","6,577","3,221"
962,טובא-זנגרייה,617,15.76,164.50,68.17,16.02,36.88,190.16,134.31,67.59,61,-                                                 ,373,27.88,224,169,383,33,26,82.60,0.20,0.30,16.90,"1,042",620,373,49,"2,423",938,"1,227",258
498,טורעאן,603,7.23,155.83,95.83,7.32,38.28,182.18,142.73,66.54,59,-                                                 ,907,28.56,468,444,539,43,25,65.50,31,3.40,0.10,"2,217","1,354",786,77,"5,046","2,071","2,569",406
"2,730",טייבה,"1,911",7.19,513.58,280,7.29,38.08,187.71,145.03,67.57,53,-                                                 ,"3,147",18.59,"1,130","1,749","1,794",155,105,70.70,12.50,12,4.80,"6,515","4,133","2,125",257,"14,533","6,202","6,949","1,382"
"2,720",טירה,744,4.67,170.83,90.67,4.72,38.22,202.66,139.28,55.21,50,-                                                 ,"2,276",28.16,313,"1,144","1,187",87,67,73.60,17.40,0.70,8.30,"3,723","2,663",980,80,"7,605","3,999","3,173",433
"2,100",טירת כרמל,"1,407",7.85,400.50,182,7.97,40.37,221.40,146.71,69.43,57,-                                                 ,"4,496",21.49,834,"1,210","1,472",105,105,64.10,24.10,3.20,8.50,"2,830","1,891",862,77,"6,037","2,844","2,769",424
"8,900",טמרה,"1,191",5.56,317.58,188.25,5.63,38.42,186.91,140.22,67.22,52,-                                                 ,"2,232",38.89,"1,192","1,185","1,629",140,96,87.40,1.20,2.70,8.70,"5,132","3,432","1,583",117,"10,953","5,232","5,104",617
"1,295",יאנוח-ג'ת,213,5.19,63.25,24.75,5.26,36.33,176.63,136.66,71.36,58,-                                                 ,"1,211",4.54,69,172,284,43,22,82.20,11.30,5.70,0.70,"1,008",714,286,8,"2,070","1,100",927,43
46,יבנאל,147,7.01,41,18.92,7.08,37.87,188.83,148.21,70.95,66,..                                                ,369,7.32,182,92,274,17,9,52.80,4.50,2,40.70,616,298,193,125,"1,873",450,650,773
"2,660",יבנה,"2,700",8.92,716.58,289.50,8.91,39.94,244.10,147.92,64.04,52,..                                                ,"6,665",12.68,658,"1,822","1,603",175,189,49.10,39.40,7.20,4.20,"5,752","3,572","1,930",250,"13,041","5,412","6,238","1,391"
"9,400",יהוד-מונוסון,"1,343",7.84,386.17,151.50,7.86,41.27,251.56,152.70,70.60,54,-                                                 ,"5,320",7.09,235,"1,186",846,122,138,47.70,37.40,11,3.90,"3,786","2,548","1,152",86,"8,030","3,865","3,683",482
29,יסוד המעלה,145,4.24,42.75,18.50,4.38,38.24,237.28,146.02,72.30,64,-                                                 ,504,1.98,13,124,110,14,14,60.70,24.70,9.80,4.90,862,381,340,141,"2,565",597,"1,182",786
499,יפיע,836,7.61,234.25,143.25,7.71,38.00,191.13,140.24,71.53,57,-                                                 ,"1,334",35.46,595,639,744,88,93,70.30,12.40,10.90,6.30,"2,812","1,833",906,73,"6,118","2,780","2,962",376
240,יקנעם עילית,"1,026",7.15,296.33,119.58,7.25,40.70,242.59,146.97,69.99,58,..                                                ,"3,184",21.83,304,829,728,68,74,52,37,0.70,10.30,"2,782","1,995",740,47,"5,546","2,924","2,372",250
831,ירוחם,515,8.23,150.33,64.17,8.36,39.36,205.23,149.07,70.51,57,..                                                ,"1,116",31.18,474,406,521,41,43,70.50,27.40,1.20,0.90,"1,701",886,573,242,"4,735","1,340","1,923","1,472"
"3,000",ירושלים,"26,442",5.41,"6,755.83","3,677.67",5.44,37.27,203.38,138.15,62.96,52,..                                                ,"85,554",15.36,"20,375","27,094","26,910","3,121","1,743",41.10,13.60,36.40,8.80,"151,610","74,292","52,874","24,444","440,650","112,936","179,396","148,318"
502,ירכא,627,6.20,174.83,85.08,6.29,35.17,179.49,126.15,68.19,56,..                                                ,994,14.29,337,386,944,103,67,55.10,0.40,31.40,13.10,"2,430","1,654",741,35,"5,122","2,535","2,406",181
504,כאבול,443,6.10,125.58,69.92,6.18,37.64,190.62,140.40,70.84,56,-                                                 ,681,44.05,379,411,624,50,46,73.80,0.30,25.30,0.50,"1,907","1,286",582,39,"4,081","1,992","1,888",201
505,כאוכב אבו אל-היג'א,191,8.39,57.50,30.58,8.56,38.27,182.34,140.20,76.04,70,-                                                 ,294,42.52,136,140,115,13,18,80.50,2.90,2.70,14,526,321,194,11,"1,170",495,618,57
"1,224",כוכב יאיר,159,3.04,53,21.92,3.02,42.40,325.99,161.97,80.58,71,-                                                 ,"1,410",2.20,..                                                ,100,207,37,33,42.40,42.80,3.50,11.20,896,651,231,14,"1,769",959,738,72
"1,059",כסיפה,471,5.10,126.25,93.83,5.24,33.18,191.28,130.00,65.17,52,-                                                 ,496,58.87,"2,952",246,585,62,13,81.30,5.90,3.20,9.60,"2,418",885,853,680,"8,377","1,371","2,979","4,027"
"1,296",כסרא-סמיע,300,5.60,85.92,29.42,5.67,36.54,172.83,139.76,71.05,59,-                                                 ,466,15.45,155,184,372,35,29,68.50,6.60,8.20,16.60,"1,507",967,516,24,"3,286","1,492","1,671",123
978,כעביה-טבאש-חג'אג'רה,255,7.14,74.17,40.83,7.26,36.33,192.03,137.92,72.75,64,-                                                 ,322,32.61,176,146,228,41,12,66.40,5.20,27.10,1.30,881,508,324,49,"2,111",765,"1,086",260
