שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים
עילוט,511,"2,741.30","8,537",-,-,100,100,-,-,"4,376","4,161",11.34,10.03,10.21,10.67,19.01,18.31,14.35,2.09,4.01,37.81,1.38,861,192,..,0.60,  ..,23,6.88,169,20.01,2.17,0,..,..,..,..,..,-,-2,50,17,33,13,25,12,-,52,16,36,12,26,14,-,12,136,61.90,15,4.40,-,-,-,-,-,-,-
עין מאהל,532,"2,598.30","13,568",-,-,99.90,100,-,-,"6,880","6,689",9.69,9.35,8.76,10.75,18.98,18.36,15.76,3.20,5.14,33.72,1.67,776,270,2.72,1.80,( 6.7),34,5.21,236,17.54,1.75,0.10,0,0,0,0,0,-23,-26,35,8,27,5,15,14,1,61,20,41,12,33,16,-,2,207,54.40,8,1.40,-,-,-,-,-,-,-
עין קנייא,"4,502",..,"2,139",-,-,100,-,0.50,99.50,"1,106","1,032",7.90,8.84,9.77,8.93,15.99,20.57,17.81,3.23,6.97,31.51,2.15,735,43,..,0.40,  ..,13,5.55,30,14.16,1.95,0,0,0,0,0,0,16,16,20,7,13,2,10,8,-,4,-,4,-,4,-,-,-,37,60.80,4,..,-,-,-,-,-,-,-
עכו,"7,600","3,482.20","49,503",67.30,87,32.70,91.10,8.20,0.70,"24,494","25,009",7.96,7.86,7.30,7.57,13.66,19.52,16.25,5.69,14.19,27.58,5.21,814,828,2.45,2.40,( 2.8),397,6.27,431,8.72,0.25,18,320,30.31,40.31,22.81,6.56,-269,-579,811,415,396,200,240,335,36,"1,390",706,684,345,364,590,91,"2,613",629,34.60,235,12,11,"1,389",0.78,0.97,0.31,0.58,0.16
עמנואל,"3,660",..,"4,129",100,99.90,-,-,-,-,"2,050","2,078",20.71,15.06,10.97,6.85,17.92,13.78,7.73,3.03,3.90,51.08,0.94,"1,354",170,..,0.20,  ..,10,6.21,160,39.83,5.71,3.40,..,..,..,..,..,82,84,290,155,135,128,112,47,3,206,118,88,85,72,45,4,144,38,52.90,16,12.10,..,..,..,..,..,..,..
עספיא,534,"1,756.60","12,613",-,-,98.60,9.30,13.60,76.90,"6,354","6,259",7.46,7.37,8.13,8.13,15.52,21.99,17.81,4.47,9.12,27.70,3.26,672,172,1.80,0.40,  ..,55,4.57,117,9.32,0.88,0.60,0,0,0,0,0,-11,1,139,51,88,38,39,59,3,138,53,85,34,40,60,4,69,152,40.30,36,6.30,..,..,..,..,..,..,..
עפולה,"7,700","1,946","56,769",99,89.80,-,-,-,-,"27,689","29,080",10.80,8.43,6.98,6.34,14.20,18.89,14.49,5.33,14.53,30.09,5.23,890,"1,180",3.01,2,( 1.9),389,5.54,791,14.25,4.64,21.70,95,25.26,32.63,23.16,18.95,"1,788","1,676","3,396","1,664","1,732","1,047",897,"1,245",207,"1,720",876,844,547,446,665,62,"3,637",585,31.20,258,12.30,19,"1,311",0.46,1.02,0.44,0.26,0.12
עראבה,531,"3,125.70","26,252",-,-,99.90,98.80,-,-,"13,280","12,972",9.96,10.25,10.62,10.92,18.04,18.50,14.09,2.75,4.87,37.29,1.74,873,492,2.46,1.60,( 3.1),70,5.68,422,16.20,1.62,0,0,0,0,0,0,14,15,163,44,119,43,83,37,-,148,44,104,32,77,39,-,79,314,44.60,46,4.40,-,-,-,-,-,-,-
ערד,"2,560",215.70,"27,208",96.70,84,-,-,-,-,"13,343","13,865",12.82,10.18,6.99,6.79,14.93,14.97,13.79,4.80,14.73,34.13,6.18,"1,062",727,4.27,2,( 2.9),227,5.59,500,18.53,1.69,27.90,31,32.26,29.03,29.03,9.68,-89,-123,852,456,396,276,283,251,42,975,531,444,253,257,350,115,"1,749",198,22.60,94,9.10,8,835,0.79,0.86,0.98,-,0.44
ערערה,637,..,"25,530",-,-,99.80,100,-,-,"12,933","12,597",9.02,9.53,10.04,10.91,17.00,18.47,15.68,3.02,6.33,35.07,2.40,846,355,1.88,2.40,( 6.7),75,4.38,280,11.03,1.13,0.10,0,0,0,0,0,-6,-7,171,53,118,65,64,41,1,178,62,116,37,100,40,1,100,302,39.50,49,4.90,-,-,-,-,-,-,-
ערערה-בנגב,"1,192","1,351.20","18,952",-,-,99.90,100,-,-,"9,486","9,466",16.80,14.75,13.35,12.36,18.67,13.91,7.15,1.13,1.86,52.51,0.56,"1,447",622,4.75,3.80,( 6.1),26,5.89,596,31.97,3.38,0,0,0,0,0,0,4,1,101,43,58,44,45,12,-,100,44,56,37,42,21,-,117,233,46.80,18,3.70,-,-,-,-,-,-,-
פוריידיס,537,"3,315.20","13,450",-,-,99.90,99.90,-,-,"6,770","6,680",9.83,9.43,9.87,9.52,17.67,20.23,15.00,3.35,5.12,34.69,1.81,778,231,2.21,1.60,( 5.9),60,6.44,171,12.81,1.53,0,0,0,0,0,0,24,10,93,34,59,36,28,29,-,83,28,55,30,27,25,1,24,171,47.20,59,10.60,-,-,-,-,-,-,-
פסוטה,535,..,"3,180",-,-,99.80,0.20,99.80,-,"1,616","1,564",7.77,7.17,6.70,6.60,16.01,21.01,18.65,4.97,11.16,25.28,4.37,650,51,..,-,   -,16,6.47,35,11.02,0.25,0,0,0,0,0,0,-21,-17,14,8,6,3,5,5,1,31,10,21,12,7,12,-,-,30,30.40,-,-,-,-,-,-,-,-,-
פקיעין (בוקייעה),536,"1,065.50","5,975",-,-,100,1.10,20.90,78,"3,050","2,925",7.88,7.36,7.28,8.10,17.46,21.21,17.04,4.74,8.90,27.43,3.45,654,80,..,-,   -,28,4.33,52,8.76,1.40,0,0,0,0,0,0,-1,-,43,12,31,4,20,19,-,43,16,27,12,15,16,-,7,71,46,12,4.10,-,-,-,-,-,-,-
פרדס חנה-כרכור,"7,800","1,936.10","43,760",99.80,96.90,-,-,-,-,"21,372","22,388",8.80,10.05,9.24,6.66,10.47,20.44,17.71,4.46,12.18,32.35,4.64,884,659,2.48,1,( 1.4),231,4.96,428,9.86,1.74,11.50,26,50,30.77,0,19.23,225,181,"1,726",841,885,497,282,826,121,"1,545",748,797,468,331,665,81,"1,423",270,19.40,160,9.80,7,568,0.58,-,-,0.63,0.09
פרדסייה,171,"4,537.30","6,641",100,98.50,-,-,-,-,"3,373","3,268",8.51,8.18,7.71,6.54,13.31,19.38,17.41,6.55,12.41,28.55,2.67,765,100,..,-,   -,16,3.25,84,13.36,11.98,4.20,..,..,..,..,..,620,605,878,444,434,378,80,406,14,273,149,124,63,93,104,13,172,53,28.10,22,8.10,-,-,-,-,-,-,-
פתח תקווה,"7,900","7,031.90","250,484",99.80,91.70,-,-,-,-,"122,634","127,850",8.53,9.00,8.00,6.63,11.05,19.48,16.54,4.37,16.40,29.78,6.75,944,"4,011",2.67,7.60, 1.8,"1,611",4.63,"2,400",9.63,1.02,18.50,402,20.40,36.07,26.87,16.67,-47,-456,"7,561","3,833","3,728","2,112","1,811","3,101",537,"8,017","4,077","3,940","2,351","1,938","3,314",414,"12,727","1,909",24.30,990,9.50,42,"3,342",0.11,0.11,0.50,0.62,-
צפת,"8,000","1,204.50","36,061",97.80,96.20,-,-,-,-,"18,320","17,741",13.47,11.60,10.40,9.00,15.47,14.51,11.47,4.12,9.95,40.78,3.98,"1,194","1,016",4.58,2.40,( 2.4),179,5.24,837,23.20,-0.09,12.20,95,29.47,32.63,26.32,11.58,-527,-650,"1,243",659,584,402,475,334,32,"1,893",993,900,641,634,530,88,"1,864",422,39.20,128,10.30,13,"1,621",0.65,0.41,1.52,-,1.91
קדומים,"3,557",..,"4,586",100,99.40,-,-,-,-,"2,264","2,322",12.52,13.69,13.30,9.03,13.06,17.34,9.57,3.16,8.33,45.68,1.94,"1,319",92,..,-,   -,9,3.68,83,18.18,0.92,5.10,3,33.33,66.67,0,0,-52,-55,160,85,75,79,39,40,2,215,115,100,91,71,50,3,168,44,48.30,13,7.47,..,..,..,..,..,..,..
קדימה-צורן,195,"2,165.20","22,717",99.90,98,-,-,-,-,"11,327","11,390",7.21,9.20,9.89,8.87,13.09,16.82,21.55,4.62,8.77,31.81,3.23,783,252,2.15,0.20,  ..,70,3.62,182,8.02,0.15,7.10,12,58.33,8.33,25,8.33,-161,-164,634,299,335,203,102,293,36,798,392,406,192,234,324,48,543,131,18.10,82,8.90,2,279,-,-,-,0.78,0.44
קלנסווה,638,"2,797.40","23,512",-,-,99.80,99.90,-,-,"12,033","11,479",11.20,10.42,10.67,10.69,18.20,17.83,13.75,2.85,4.40,38.59,1.49,900,491,2.76,1.20,( 2.3),75,5.63,416,17.83,1.59,0.10,0,0,0,0,0,-91,-96,124,46,78,47,50,26,1,220,83,137,85,73,62,-,40,353,54.60,88,9.90,-,-,-,-,-,-,-
קצרין,"4,100",688.80,"7,500",99.20,81.80,-,-,-,-,"3,654","3,846",7.25,8.79,7.80,7.07,13.25,17.15,17.35,5.73,15.63,27.25,5.57,870,109,..,0.40,  ..,39,5.58,70,9.46,2.79,31.70,35,25.71,28.57,28.57,17.14,129,101,421,214,207,131,85,180,25,320,162,158,73,93,138,16,465,40,15.50,37,12.70,2,123,-,0.49,-,-,1.15
קריית אונו,"2,620","8,964.70","40,835",99.90,97.40,-,-,-,-,"19,843","20,992",7.21,9.42,9.34,7.00,9.04,20.79,18.10,3.93,15.18,30.48,6.47,929,448,1.94,0.60,  ..,231,3.77,217,5.34,1.05,7,20,20,25,25,30,145,137,"1,668",807,861,471,273,791,133,"1,531",757,774,428,351,637,115,"1,531",200,16.20,153,9,6,347,0.51,-,-,0.34,-
קריית ארבע,"3,611",..,"7,338",100,97.80,-,-,-,-,"3,636","3,702",13.06,11.86,11.24,9.46,16.11,15.96,9.43,3.84,9.05,42.31,3.57,"1,206",212,..,0.20,  ..,26,4.95,186,25.37,0.17,16.60,4,25,25,50,0,-172,-176,211,121,90,63,85,53,10,387,195,192,153,134,81,19,350,121,57.10,34,13.30,5,508,-,5.57,1.35,-,-
קריית אתא,"6,800","3,409.40","59,364",99.80,92.10,-,-,-,-,"29,069","30,296",8.07,7.80,6.69,6.14,12.84,19.36,16.61,5.58,16.91,26.27,6.22,839,928,2.38,1.20,( 1.3),432,5.40,496,8.38,0.57,16.80,60,31.67,23.33,35,10,-253,-311,"1,588",797,791,361,432,671,124,"1,899",912,987,534,444,811,110,"2,687",573,28.10,276,11.10,15,"1,036",0.89,-,0.13,0.64,0.09
קריית ביאליק,"9,500","4,885","41,912",99.90,90.60,-,-,-,-,"20,166","21,746",7.38,7.39,6.31,5.45,10.97,20.48,15.95,5.57,20.50,24.27,8.11,888,524,2.01,0.60,  ..,332,5.21,192,4.67,4.18,21.80,66,22.73,31.82,28.79,16.67,"1,226","1,153","2,946","1,435","1,511",848,553,"1,323",222,"1,793",866,927,400,448,802,143,"2,221",299,20.30,164,9.60,6,602,1.32,-,-,-,0.12
קריית גת,"2,630","3,692.50","58,482",99.90,93.60,-,-,-,-,"28,874","29,608",11.85,9.73,7.52,6.63,14.64,18.59,13.32,5.14,12.57,33.06,4.75,935,"1,370",3.35,3.80,( 2.8),359,5.60,"1,011",17.49,2.41,22.50,46,19.57,36.96,28.26,15.22,446,355,"1,974","1,009",965,665,592,663,54,"1,619",856,763,555,464,542,58,"3,126",617,34.40,250,11.20,13,"1,286",0.48,-,0.83,0.29,0.60
קריית טבעון,"2,300","2,221.20","18,312",99.40,97.10,-,-,-,-,"8,774","9,538",5.31,7.26,8.18,7.37,11.32,16.04,18.68,5.52,20.33,25.48,8.81,940,171,1.84,0.20,  ..,117,3.93,54,2.96,1.00,6.40,52,11.54,84.62,3.85,0,105,43,577,270,307,152,94,291,40,534,257,277,90,181,231,32,452,73,10.10,58,8.10,11,"1,023",2.40,1.40,-,1.53,0.26
קריית ים,"9,600","3,872","39,459",99.80,83.20,-,-,-,-,"18,773","20,686",5.54,6.22,5.58,5.09,10.88,19.12,17.30,6.71,23.54,20.48,9.60,851,420,1.80,1.60,( 3.2),463,5.71,-43.00,-1.08,-1.10,37.50,424,24.76,46.23,23.58,5.42,-442,-881,"1,304",656,648,247,290,642,125,"2,185","1,074","1,111",545,461,"1,014",165,"1,389",244,15.40,185,10.90,9,970,1.18,0.07,-,0.80,0.42
קריית יערים,"1,137","12,411.30","6,238",100,99.70,-,-,-,-,"3,271","2,967",18.93,14.67,12.39,9.79,17.44,15.69,5.84,1.86,3.37,52.12,1.03,"1,449",249,..,1,( 4.4),8,4.20,241,38.98,1.80,10.20,15,20,26.67,26.67,26.67,-109,-120,195,99,96,83,66,41,5,315,169,146,136,110,63,6,156,81,71.80,13,6.30,6,596,-,0.51,7.76,-,1.28
קריית מוצקין,"8,200","11,854","45,463",99.90,89.70,-,-,-,-,"21,497","23,966",7.66,6.89,6.00,5.41,10.73,20.56,15.98,5.62,21.14,23.83,8.42,890,635,2.19,0.80,  ..,409,5.16,226,5.09,4.99,23.20,81,29.63,29.63,19.75,20.99,"1,877","1,815","3,663","1,766","1,897",991,691,"1,661",320,"1,848",927,921,463,413,821,151,"2,584",321,20.70,176,9.40,4,775,1.35,0.29,-,0.07,-
קריית מלאכי,"1,034","5,324.30","24,384",99.70,98.30,-,-,-,-,"12,293","12,091",12.08,10.68,8.10,6.16,16.49,19.11,12.36,4.91,10.12,34.43,3.54,891,552,3.17,2,( 3.4),118,5.74,434,18.01,2.37,14.30,13,53.85,23.08,23.08,0,113,87,881,446,435,351,229,278,23,794,403,391,292,215,259,28,"1,142",308,41.30,120,13.50,5,282,-,-,0.66,0.15,0.34
קריית עקרון,469,"4,748.70","11,077",99.30,96.90,-,-,-,-,"5,482","5,595",8.66,8.40,6.75,6.40,14.68,18.74,16.63,5.57,14.17,27.65,5.28,798,196,2.65,0.60,  ..,66,4.82,130,11.78,0.69,11.50,0,0,0,0,0,-98,-89,346,179,167,119,79,136,12,435,195,240,148,99,168,20,153,123,30.90,52,11.90,2,63,0.28,0.29,-,-,-
קריית שמונה,"2,800","1,554.90","22,363",96.60,92.40,-,-,-,-,"11,174","11,189",7.60,6.65,7.31,7.14,16.15,17.49,17.18,6.53,13.97,25.44,4.99,744,345,2.34,0.80,  ..,148,5.61,197,8.78,-0.66,14.20,7,0,14.29,28.57,57.14,-207,-220,512,272,240,90,219,197,6,732,377,355,182,218,293,39,591,243,27.10,96,11,4,410,-,0.93,0.78,-,0.13
קרני שומרון,"3,640",..,"9,417",99.90,96.90,-,-,-,-,"4,763","4,654",13.51,12.16,8.81,7.17,15.40,19.70,10.35,4.34,8.56,38.39,2.22,"1,008",233,..,-,   -,19,4.63,214,23.08,3.14,11.90,8,37.50,37.50,25,0,167,161,542,282,260,213,162,151,16,381,207,174,139,111,115,16,494,96,46.30,22,6.80,4,329,-,0.10,3.37,0.03,-
ראמה,543,"1,200.30","7,792",-,-,99.70,18.60,49.90,31.50,"3,914","3,878",7.66,7.78,6.93,8.01,17.04,20.02,17.25,4.15,11.15,27.12,4.49,711,132,..,0.20,  ..,36,5.78,96,12.37,0.84,0.10,0,0,0,0,0,-62,-61,65,26,39,19,17,29,-,126,47,79,27,51,47,1,1,76,30.40,15,4.40,-,-,-,-,-,-,-
ראש העין,"2,640","4,264.70","67,624",99.90,97.20,-,-,-,-,"33,844","33,780",12.39,9.87,6.89,5.82,13.10,23.34,15.56,4.65,8.38,32.60,2.89,765,"1,451",2.88,2,( 1.8),217,4.31,"1,234",19.07,9.42,7.40,26,26.92,30.77,23.08,19.23,"4,289","4,231","6,014","3,034","2,980","2,013","1,060","2,713",228,"1,783",906,877,446,569,691,77,"3,162",585,32.50,272,11.10,9,654,-,-,0.27,0.67,0.03
ראש פינה,26,..,"3,217",98.50,97.20,-,-,-,-,"1,595","1,623",7.62,8.08,7.93,7.03,13.62,16.91,17.97,4.97,15.92,28.01,4.17,870,41,..,-,   -,14,4.28,27,8.48,2.21,4.80,..,..,..,..,..,55,54,225,106,119,60,53,104,8,171,78,93,48,41,75,7,57,25,21.40,7,5.80,..,..,..,..,..,..,..
ראשון לציון,"8,300","4,320.80","256,053",99.90,90.90,-,-,-,-,"125,607","130,447",7.12,6.88,6.28,6.35,12.94,19.14,17.67,5.62,18.01,24.09,6.65,806,"3,599",2.22,5.80, 1.5,"1,634",4.35,"1,965",7.70,0.66,19.60,451,22.84,35.03,26.16,15.96,-505,-953,"6,888","3,534","3,354","1,452","1,785","3,125",526,"7,841","4,004","3,837","1,974","1,916","3,491",460,"12,055","2,152",23.70,"1,057",9.60,26,"3,146",0.37,0.10,0.42,0.25,0.08
רהט,"1,161","2,275.80","73,768",-,-,99.80,100,-,-,"36,958","36,811",16.40,13.93,12.04,11.88,19.09,14.93,8.32,1.22,2.20,49.50,0.80,"1,296","2,258",3.98,19.60, 8.7,143,5.62,"2,115",29.13,3.26,0,..,..,..,..,..,80,65,386,152,234,140,164,80,2,321,150,171,120,121,78,2,"1,402","1,094",58.90,167,7.80,..,..,..,..,..,..,..
רחובות,"8,400","6,149.20","146,095",99.70,94.40,-,-,-,-,"71,408","74,687",9.49,9.79,8.16,6.12,10.97,20.67,14.89,4.19,15.71,31.31,6.23,972,"2,517",2.69,6.40, 2.4,888,4.37,"1,629",11.23,1.52,15.80,221,23.98,40.27,19.46,16.29,731,449,"4,598","2,240","2,358","1,290",996,"2,029",283,"4,149","2,041","2,108","1,218","1,029","1,690",212,"6,722","1,098",24.80,571,9.60,19,"1,265",0.30,0.22,0.16,0.14,0.04
ריינה,542,"1,764.50","19,141",-,-,99.80,85,15,-,"9,763","9,378",9.20,9.14,9.12,9.98,18.74,18.19,15.77,3.80,6.06,33.25,2.06,770,315,2.11,1.60,( 5.3),64,5.44,251,13.16,0.74,0.10,0,0,0,0,0,-125,-120,130,46,84,39,56,35,-,250,87,163,66,108,73,3,17,228,40.50,29,3.60,..,..,..,..,..,..,..
רכסים,922,"4,005.70","13,265",100,99.80,-,-,-,-,"6,907","6,358",17.80,14.74,11.11,11.06,16.28,14.54,7.98,2.24,4.26,49.82,1.46,"1,437",463,5.41,2.20,( 4.8),20,4.68,443,34.17,4.72,2.30,13,53.85,15.38,23.08,7.69,81,65,507,266,241,233,178,91,5,442,252,190,168,189,78,7,722,193,73.80,26,6,7,806,-,1.25,4.82,-,-
רמלה,"8,500","6,420.20","76,987",75.70,93.30,24.30,80.60,19.30,0.10,"39,077","37,910",9.67,9.08,7.79,6.86,14.21,20.01,15.20,4.74,12.43,30.71,4.77,846,"1,466",2.89,3.60,( 2.3),496,5.45,970,12.66,0.97,18.30,209,24.40,51.20,21.05,3.35,-318,-546,"1,730",844,886,564,395,679,92,"2,276","1,123","1,153",785,518,864,109,"2,988",833,33.20,323,10.60,16,"1,963",0.32,-,0.04,0.29,1.90
רמת גן,"8,600","10,220","167,556",99.40,93.40,-,-,-,-,"80,543","87,013",7.19,6.31,5.52,5.01,13.11,24.20,16.57,4.65,17.43,22.05,8.32,708,"2,348",1.80,3.80,( 1.6),"1,292",4.60,"1,056",6.38,2.49,13,343,22.16,46.65,22.45,8.75,"2,158","1,822","10,196","5,195","5,001","1,342","3,656","4,706",492,"8,374","4,199","4,175","1,857","1,970","4,086",461,"7,623","1,628",24.10,604,9.70,18,"2,657",0.60,0.57,0.08,0.33,0.01
רמת השרון,"2,650","2,853.40","47,512",99.90,98.30,-,-,-,-,"22,789","24,722",6.84,8.30,8.84,7.34,9.00,17.46,18.73,4.37,19.12,28.74,8.71,"1,018",511,2.06,0.80,  ..,319,3.69,192,4.05,0.56,5.50,54,27.78,44.44,11.11,16.67,10,-94,"1,574",798,776,401,255,783,135,"1,668",854,814,374,473,706,115,"1,602",220,13.80,179,9.20,11,"1,165",0.78,1.23,0.07,0.35,0.03
רמת ישי,122,"3,386.10","7,897",99.90,97.20,-,-,-,-,"3,912","3,985",7.37,8.45,8.21,7.83,12.78,17.91,17.35,6.31,13.83,28.80,3.13,841,85,..,0.20,  ..,15,3.30,70,8.93,1.45,4.90,3,33.33,0,66.67,0,50,41,332,163,169,102,62,153,15,291,149,142,61,75,130,25,183,38,15.70,31,9,-,-,-,-,-,-,-
רעננה,"8,700","5,135","76,277",99.90,97.10,-,-,-,-,"37,122","39,155",6.95,7.67,7.75,7.24,11.81,16.16,18.08,5.20,19.15,27.03,7.49,951,989,2.48,1.40,( 1.4),452,3.92,537,7.08,1.14,20.90,649,36.21,37.29,15.72,10.79,780,103,"3,009","1,481","1,528",859,551,"1,380",219,"2,906","1,487","1,419",562,938,"1,162",244,"4,225",538,21.50,252,7.70,13,"1,777",0.57,0.29,0.01,1.16,0.30
שבלי - אום אל-גנם,913,"2,121.90","6,151",-,-,99.90,100,-,-,"3,098","3,053",9.77,10.00,10.63,10.75,16.50,17.85,15.75,2.89,5.87,36.81,2.21,887,118,..,0.20,  ..,18,6.16,100,16.39,1.62,0,..,..,..,..,..,-3,-2,47,13,34,10,22,15,-,49,17,32,7,29,13,-,13,74,42.90,11,4.60,-,-,-,-,-,-,-
שגב-שלום,"1,286",840.20,"11,363",-,-,99.90,100,-,-,"5,711","5,652",16.73,13.95,12.35,12.78,18.38,14.47,8.05,1.43,1.87,50.75,0.62,"1,363",368,4.53,3.60,( 9.8),17,6.06,351,31.48,3.91,0,0,0,0,0,0,54,47,106,49,57,34,51,20,1,59,26,33,24,21,13,1,89,188,63.70,46,15.30,-,-,-,-,-,-,-
שדרות,"1,031","4,606.10","29,074",99.40,94,-,-,-,-,"15,010","14,064",11.80,9.28,6.43,6.25,17.53,20.77,13.64,4.52,9.77,30.38,3.67,771,754,3.41,2.60,( 3.8),160,5.93,594,20.95,5.21,22.30,21,19.05,23.81,38.10,19.05,685,640,"1,530",814,716,366,594,549,21,890,464,426,293,245,333,19,"1,579",482,51.20,116,11.20,8,761,-,-,1.96,0.28,0.37
שוהם,"1,304","2,925.80","21,014",100,99.10,-,-,-,-,"10,400","10,613",5.06,6.81,9.17,10.95,17.02,12.20,25.22,5.69,7.87,27.65,2.60,663,201,2.06,-,   -,45,3.33,156,7.42,-0.15,4.30,5,20,60,0,20,-192,-190,535,265,270,204,71,222,38,725,355,370,107,352,247,19,756,149,20.90,73,8,-,-,-,-,-,-,-
שלומי,812,"1,153.60","6,754",98.60,92.10,-,-,-,-,"3,404","3,350",7.57,8.08,8.35,7.39,13.22,18.77,19.08,5.51,12.01,28.28,4.77,767,97,..,0.40,  ..,32,4.17,65,9.80,3.73,16.30,..,..,..,..,..,168,165,451,242,209,110,105,218,18,286,140,146,70,84,117,15,205,93,40.80,40,15.60,..,..,..,..,..,..,..
שעב,538,"1,342.50","7,228",-,-,100,100,-,-,"3,636","3,593",9.62,10.11,8.02,9.99,19.56,19.04,16.48,2.52,4.65,33.85,1.69,736,141,..,0.20,  ..,26,6.37,115,16.10,2.37,0,0,0,0,0,0,22,21,65,18,47,14,32,18,1,44,11,33,11,22,11,-,1,122,58.60,21,7.20,-,-,-,-,-,-,-
שפרעם,"8,800","2,165.90","42,509",-,-,99.60,61.50,24.60,13.80,"21,394","21,116",7.97,7.97,8.39,9.99,18.08,18.62,17.70,3.88,7.40,30.22,2.91,716,599,1.89,2.80,( 4.3),163,5.35,436,10.30,0.88,0.20,3,100,0,0,0,-170,-199,288,101,187,74,127,85,2,487,165,322,180,154,152,1,243,526,39.40,108,6,6,277,0.27,-,-,0.36,0.02
תל אביב -יפו,"5,000","8,955.80","463,808",95.30,94.30,4.70,82.80,16.30,0.90,"230,199","233,609",7.18,6.12,5.07,4.34,13.99,28.29,15.45,4.30,15.26,20.99,6.76,612,"7,749",1.84,11.20, 1.4,"3,331",5.11,"4,418",9.56,0.69,14.30,"2,408",18.48,51.20,19.85,10.47,534,"-1,328","19,970","10,371","9,599","1,453","10,286","7,485",746,"21,299","10,806","10,493","4,758","4,256","11,115","1,170","33,145","5,021",23.10,"1,736",11.30,58,"6,933",0.55,0.47,0.14,0.26,0.07
תל מונד,154,"1,892.40","13,492",100,98.80,-,-,-,-,"6,807","6,686",6.60,9.07,10.35,9.80,13.45,15.54,22.90,3.81,8.49,32.08,2.64,796,143,2.20,-,   -,39,3.94,104,7.81,2.65,7.50,31,54.84,25.81,3.23,16.13,213,168,582,294,288,245,57,264,16,414,207,207,88,150,150,26,275,76,18.30,53,9.80,-,-,-,-,-,-,-
