שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך מוסדות דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) סך דיירי דיור משותף ברשות,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים בבתי אבות ובדיור מוגן,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות חינוך,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות דת,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אשפוז כולל הוסטלים,אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות) אחוז דיירים במוסדות אחרים
ג'ת,628,"1,616","12,473",-,-,99.90,100,-,-,"6,321","6,151",9.77,9.02,8.79,9.32,17.70,19.37,15.22,4.06,6.74,32.56,2.25,774,224,2.31,0.80,  ..,43,5.63,181,14.63,1.66,0.04,..,..,..,..,..,20,1,116,34,82,36,52,28,0,115,41,74,35,59,21,0,6,168,13.20,35,6.60,-,-,-,-,-,-,-
דאלית אל-כרמל,494,"1,719.50","18,061",-,-,99.70,2.80,-,97.10,"9,168","8,893",7.42,7.68,7.94,7.78,15.43,21.78,18.85,4.57,8.54,27.70,2.77,649,265,1.96,0.20,  ..,74,5.22,191,10.63,1.09,0.13,4,50,50,0,0,8,-1,118,41,77,29,49,40,0,119,49,70,29,47,41,2,169,187,38.40,57,6.60,..,..,..,..,..,..,..
דבורייה,489,"1,916.40","10,782",-,-,99.90,99.80,-,-,"5,491","5,291",9.47,8.82,8.92,10.17,17.61,17.57,16.87,3.42,7.15,33.15,2.91,803,200,2.50,0.40,  ..,41,4.99,159,14.82,0.94,0.06,0,0,0,0,0,-60,-60,84,32,52,25,39,18,2,144,58,86,53,44,47,0,2,117,37.20,17,3.80,..,..,..,..,..,..,..
דייר אל-אסד,490,"2,508.80","12,935",-,-,100,99.90,-,-,"6,642","6,293",9.09,9.72,9.48,10.70,18.14,19.40,14.77,3.14,5.56,34.59,1.93,804,223,2.23,0.40,  ..,39,5.54,184,14.34,1.58,0.01,..,..,..,..,..,4,-3,77,19,58,20,33,23,1,80,20,60,22,32,24,2,0,141,37.30,40,7.80,-,-,-,-,-,-,-
דייר חנא,492,"1,188.40","10,599",-,-,99.90,90.10,9.90,-,"5,344","5,255",7.92,8.53,8.60,9.37,18.26,20.26,16.63,3.76,6.67,30.59,2.73,698,155,1.79,0.80,  ..,37,5.03,118,11.19,1.07,0.03,0,0,0,0,0,-14,-13,75,23,52,8,47,20,0,88,29,59,38,24,24,2,3,96,31.20,14,3.10,-,-,-,-,-,-,-
דימונה,"2,200",162.80,"35,892",99.30,90.40,-,-,-,-,"17,841","18,051",8.69,8.37,7.42,7.54,14.56,18.85,16.64,4.92,13.02,29.10,5.02,820,667,2.80,2.80,( 4.2),255,6.44,412,11.58,1.77,15.40,20,25,30,30,15,109,89,"1,085",578,507,325,307,407,46,996,543,453,267,289,391,49,"2,765",302,22.20,210,16.20,8,"1,165",0.30,1.28,0.11,0.59,1.02
הוד השרון,"9,700","3,395.20","65,363",99.90,97.70,-,-,-,-,"31,772","33,591",7.63,8.68,8.52,7.54,10.61,18.15,19.52,4.55,14.79,29.54,5.69,893,875,2.37,2.40,( 2.7),300,3.86,575,8.86,1.36,7.16,59,25.42,42.37,18.64,13.56,315,197,"2,455","1,206","1,249",657,363,"1,222",213,"2,258","1,112","1,146",523,626,969,140,"2,507",237,11.30,222,8.30,7,511,0.46,0.23,-,0.09,0.02
הר אדר,"3,769",..,"4,108",99.80,97.20,-,-,-,-,"2,062","2,046",4.53,7.72,10.98,9.88,14.24,12.68,23.20,3.97,12.80,29.43,4.45,849,40,..,   -,   -,5,(2.4),35,8.55,0.59,6.72,..,..,..,..,..,4,-9,200,108,92,50,44,88,18,209,98,111,45,80,70,14,96,21,16.60,10,5.60,-,-,-,-,-,-,-
הרצלייה,"6,400","4,760.20","103,318",99.80,95.10,-,-,-,-,"50,499","52,820",7.25,7.39,6.65,5.74,11.08,20.89,16.81,4.78,19.40,24.83,8.36,867,"1,448",2.22,1.80,( 1.4),654,4.18,794,7.85,4.40,12.73,566,24.20,36.22,19.79,19.79,"3,505","2,826","6,476","3,271","3,205","1,598","1,395","3,098",385,"3,650","1,824","1,826",725,"1,036","1,606",283,"5,338",510,14,365,8.90,17,"1,168",0.66,0.19,-,0.27,0.05
זכרון יעקב,"9,300",756.70,"23,857",99.70,96.20,-,-,-,-,"11,706","12,151",6.87,8.33,9.86,9.13,12.80,14.67,20.12,5.37,12.84,30.71,4.80,888,312,2.61,0.60,  ..,103,4.37,209,8.84,1.79,12.05,76,28.95,32.89,22.37,15.79,183,58,951,470,481,304,141,427,79,893,456,437,183,349,303,58,"1,038",138,18,83,8.60,4,210,0.12,-,0.31,-,0.47
זמר,"1,290",893.80,"7,360",-,-,99.90,99.90,-,-,"3,729","3,630",10.52,10.23,8.99,8.87,17.23,19.18,14.80,3.65,6.52,34.93,2.31,823,144,..,0.60,  ..,32,5.91,112,15.33,1.49,0.08,3,66.67,33.33,0,0,-4,-11,63,11,52,15,29,17,2,74,21,53,23,34,17,0,4,102,49.90,12,4,-,-,-,-,-,-,-
זרזיר,975,"1,912","8,412",-,-,99.70,100,-,-,"4,259","4,153",10.44,11.06,10.03,9.75,18.26,19.47,13.88,2.39,4.74,37.29,1.66,852,190,..,1.20,( 6.4),30,5.84,160,19.18,1.66,0.06,0,0,0,0,0,-28,-31,47,11,36,14,19,14,0,78,23,55,33,34,11,0,31,98,43.30,9,2.70,-,-,-,-,-,-,-
חדרה,"6,500","1,972.10","100,631",99.10,92.30,-,-,-,-,"49,300","51,331",8.26,8.23,7.24,6.37,12.21,19.86,16.51,5.16,16.15,27.52,6.41,860,"1,636",2.53,3.80,( 2.3),804,5.51,832,8.34,1.74,23.36,269,24.91,32.71,23.42,18.96,901,630,"3,513","1,716","1,797",905,797,"1,499",312,"2,883","1,494","1,389",828,671,"1,217",167,"5,423",593,16.50,450,11.50,21,"1,574",0.31,-,0.56,0.61,0.11
חולון,"6,600","10,369.70","197,464",99.80,91.40,-,-,-,-,"95,420","102,045",7.11,7.65,7.35,6.34,11.28,19.95,17.37,4.86,18.09,25.94,7.95,871,"2,735",2.29,4.20, 1.5,"1,564",5,"1,171",5.93,0.11,17.39,302,26.16,30.79,28.48,14.57,"-1,574","-1,912","5,006","2,483","2,523","1,201","1,182","2,216",407,"6,918","3,471","3,447","1,997","1,484","2,909",528,"9,167","1,074",15.40,705,8.50,10,982,0.37,-,-,0.10,0.02
חורה,"1,303","2,740.10","23,943",-,-,99.90,100,-,-,"12,084","11,859",18.62,15.16,13.20,12.35,16.89,13.67,7.13,1.02,1.95,54.37,0.69,"1,583",730,4.62,5.80, 8.4,34,4.68,696,29.59,3.63,0,0,0,0,0,0,103,97,158,68,90,57,72,27,2,64,25,39,29,23,10,2,132,266,48.20,31,4.80,-,-,-,-,-,-,-
חורפיש,496,"1,157.60","6,581",-,-,100,0.20,2.90,96.60,"3,314","3,267",8.37,8.74,8.59,8.66,17.43,21.82,16.11,3.46,6.84,30.63,2.64,700,130,..,0.80,  ..,20,5.56,110,16.83,1.41,0.02,0,0,0,0,0,-20,-21,35,8,27,4,18,12,1,56,21,35,12,20,23,1,1,95,54.90,11,3.60,..,..,..,..,..,..,..
חיפה,"4,000","4,304","282,832",87.80,85.30,12.20,49.90,48.40,1.40,"136,494","146,338",6.70,6.88,6.23,5.71,12.97,18.93,16.37,5.23,20.97,23.19,9.81,869,"3,838",2.12,6.20, 1.6,"2,734",4.97,"1,104",3.90,-0.32,24.05,"2,011",21.73,44.80,22.77,10.69,"-1,661","-3,532","7,991","4,094","3,897","1,422","2,785","3,277",507,"11,523","5,834","5,689","2,729","2,931","4,861","1,002","17,923","1,470",13,"1,051",9.20,73,"9,583",0.89,1.48,0.28,0.54,0.18
חצור הגלילית,"2,034","1,787.10","9,764",99.50,97.60,-,-,-,-,"4,993","4,770",11.26,9.45,8.07,8.25,15.61,16.89,13.86,5.06,11.54,33.19,4.16,945,255,..,0.40,  ..,62,6.26,193,19.97,2.04,6.64,5,40,40,0,20,11,11,352,188,164,104,114,121,13,341,175,166,127,92,108,14,461,122,39.50,44,12.10,2,298,-,-,2.39,-,0.72
חריש,"1,247","3,875.40","27,006",98.50,91.90,-,-,-,-,"13,393","13,613",20.73,15.20,8.30,3.20,11.15,27.57,8.43,1.69,3.74,46.34,0.88,"1,048",893,4.56,0.80,  ..,29,4.58,864,37.10,38.02,16.36,100,26,31,33,10,"6,669","6,518","7,772","3,850","3,922","3,004","1,656","2,776",336,"1,254",596,658,504,231,486,33,"2,650",138,55.20,121,18.70,-,-,-,-,-,-,-
טבריה,"6,700","2,883.20","46,698",98.50,93.90,-,-,-,-,"23,369","23,329",11.26,8.84,7.39,7.04,15.20,16.44,14.64,5.26,13.93,31.85,5.31,940,"1,076",3.51,2.80,( 2.8),326,5.79,750,16.20,1.81,11.09,52,30.77,51.92,7.69,9.62,283,221,"1,788",919,869,595,631,497,65,"1,567",825,742,482,403,596,86,"2,529",386,23.70,180,10.60,18,"1,116",0.58,0.26,0.61,0.86,0.12
טובא-זנגרייה,962,"1,871.10","7,011",-,-,99.90,100,-,-,"3,508","3,502",10.54,9.63,8.57,9.96,18.10,20.82,14.69,2.95,4.74,34.47,1.48,768,144,..,0.40,  ..,21,5.35,123,17.69,1.66,0.03,0,0,0,0,0,-17,-13,29,8,21,10,9,10,0,42,9,33,10,20,12,0,0,82,37.20,14,5.40,-,-,-,-,-,-,-
טורעאן,498,"1,229.40","14,655",-,-,100,89,11,-,"7,519","7,135",9.36,9.57,9.78,9.91,18.49,18.43,15.28,3.10,6.06,34.53,2.15,808,259,2.25,0.60,  ..,36,4.80,223,15.33,1.52,0.01,0,0,0,0,0,-25,-25,88,32,56,24,41,23,0,113,42,71,25,51,37,0,4,148,37.80,30,4.90,-,-,-,-,-,-,-
טייבה,"2,730","2,400.70","45,388",-,-,99.90,100,-,-,"22,851","22,537",9.48,9.34,10.21,10.47,17.61,17.96,15.64,3.33,5.97,35.27,2.16,833,830,2.46,2.80,( 3.4),197,6.62,633,14.07,1.80,0.06,3,100,0,0,0,128,98,302,113,189,126,106,69,1,204,76,128,62,79,62,1,5,416,31.50,153,8.60,2,51,-,0.07,-,-,0.04
טירה,"2,720","2,307.80","27,392",-,-,99.70,99.90,-,-,"13,768","13,624",8.79,8.86,8.37,9.16,17.67,19.86,15.83,4.09,7.37,31.32,2.71,741,438,2.06,1.40,( 3.0),137,5.97,301,11.06,1.32,0.11,3,100,0,0,0,32,20,154,50,104,53,53,48,0,134,53,81,36,59,38,1,7,325,38.10,123,11,3,99,-,-,-,0.10,0.27
טירת כרמל,"2,100","4,523.70","26,806",99.30,93.10,-,-,-,-,"13,185","13,621",10.18,8.54,6.00,5.21,11.41,23.76,14.96,5.42,14.52,27.81,5.14,800,514,2.79,0.20,  ..,209,5.91,305,11.94,10.33,18.21,42,33.33,19.05,30.95,16.67,"2,201","2,128","2,768","1,352","1,416",745,444,"1,352",227,640,333,307,198,131,268,43,"1,855",131,15.50,102,10.60,3,93,-,-,0.04,0.25,0.10
טמרה,"8,900","1,189.30","35,405",-,-,99.90,99.90,-,-,"17,893","17,512",8.80,8.72,9.80,10.05,17.96,19.19,16.11,3.50,5.90,33.25,2.12,762,599,2.20,2.60,( 4.2),138,5.58,461,13.12,1.52,0.04,0,0,0,0,0,39,33,176,61,115,46,80,49,1,143,46,97,33,62,46,2,5,342,33.70,97,6.60,8,336,-,-,-,0.52,0.45
יאנוח-ג'ת,"1,295",505.40,"6,851",-,-,100,-,-,100,"3,445","3,406",8.58,8.29,9.04,9.53,17.85,21.76,15.71,3.44,5.81,31.66,2.00,702,116,..,0.60,  ..,25,4.66,91,13.36,1.12,0,0,0,0,0,0,-18,-18,41,10,31,8,19,14,0,59,10,49,2,38,19,0,9,85,46.50,14,4.50,-,-,-,-,-,-,-
יבנאל,46,..,"4,448",100,98.60,-,-,-,-,"2,215","2,233",11.78,13.40,12.59,9.73,12.12,15.63,11.89,3.84,9.04,43.91,3.93,"1,301",112,..,   -,   -,15,(3.8),97,22.10,2.66,5.13,0,0,0,0,0,47,46,214,99,115,97,34,74,9,168,80,88,61,51,53,3,803,44,36.70,19,13,..,..,..,..,..,..,..
יבנה,"2,660","1,837.80","53,595",99.90,96.80,-,-,-,-,"26,611","26,985",11.29,11.47,8.10,5.72,10.79,22.93,13.68,4.24,11.77,34.39,3.36,936,"1,007",2.75,2,( 2.0),210,4.80,797,15.41,7.54,9.98,36,30.56,38.89,16.67,13.89,"2,942","2,880","4,215","2,043","2,172","1,681",570,"1,799",165,"1,335",697,638,420,267,580,68,"3,464",304,22.30,176,8.50,2,132,0.26,-,-,-,-
יהוד-מונוסון,"9,400","5,331.30","30,619",99.90,97.90,-,-,-,-,"15,010","15,609",7.17,7.96,7.90,7.26,11.86,17.24,18.44,4.95,17.21,27.46,6.44,905,416,2.45,0.40,  ..,225,4.62,191,6.30,1.99,6.14,23,34.78,43.48,0,21.74,390,334,"1,351",663,688,399,250,588,114,"1,017",505,512,247,289,411,70,"1,499",143,13.90,72,5.60,3,141,0.47,-,-,-,-
יסוד המעלה,29,..,"1,804",100,98.10,-,-,-,-,898,905,7.54,7.15,7.65,8.37,14.47,16.46,19.57,5.60,13.19,27.44,5.76,783,25,..,   -,   -,5,..,20,11.22,2.42,3.94,..,..,..,..,..,26,23,138,76,62,51,25,59,3,115,54,61,39,29,46,1,19,9,14.50,8,11.30,-,-,-,-,-,-,-
יפיע,499,"4,786.10","19,538",-,-,99.90,82.40,17.60,-,"9,901","9,637",8.50,9.16,9.06,9.19,18.73,18.73,16.39,3.70,6.55,32.21,2.45,738,352,2.26,0.80,  ..,63,5.30,289,14.88,1.23,0.02,..,..,..,..,..,-69,-72,171,54,117,43,81,45,2,243,86,157,62,100,78,3,13,219,38.40,36,4.40,..,..,..,..,..,..,..
יקנעם עילית,240,"2,906.60","24,158",99.90,90.40,-,-,-,-,"11,903","12,254",7.49,8.59,8.73,8.33,12.72,18.15,19.78,4.35,11.86,29.70,4.28,818,341,2.40,0.20,  ..,111,4.57,230,9.53,0.28,21.10,65,33.85,29.23,23.08,13.85,-124,-176,690,351,339,202,106,319,63,866,439,427,261,199,361,45,941,103,13.40,67,6.70,-,-,-,-,-,-,-
ירוחם,831,188.20,"11,031",96.80,92.80,-,-,-,-,"5,842","5,189",10.33,10.67,8.84,9.26,16.06,18.28,13.67,3.90,8.99,35.35,3.39,927,255,3.63,1.80,( 7.7),72,6.84,183,16.79,2.39,13.59,8,0,25,0,75,64,42,420,211,209,130,114,160,16,378,202,176,113,129,130,6,557,122,34.50,44,11.50,5,663,-,2.80,3.35,-,-
ירושלים,"3,000","7,662.30","966,210",61.10,97.60,38.90,96.50,3.40,-,"483,132","483,078",12.25,10.97,10.08,9.41,16.43,16.69,11.53,3.21,9.43,38.96,4.12,"1,090","25,847",3.86,84.40, 3.3,"4,125",4.76,"21,722",22.66,1.58,7.92,"3,696",21.51,45.05,14.75,18.70,"-6,557","-10,790","11,933","6,347","5,586","2,896","5,565","2,971",501,"22,712","11,740","10,971","7,692","7,970","5,986","1,064","45,813","12,789",47.20,"2,639",7.40,306,"26,901",0.40,0.47,1.72,0.15,0.09
ירכא,502,"1,095.70","17,576",-,-,99.70,1.10,0.10,98.80,"9,073","8,503",8.32,8.74,9.40,9.65,18.43,20.81,15.01,3.40,6.24,32.09,2.38,735,283,2.02,1.80,( 6.6),53,4.99,230,13.15,0.98,0.16,0,0,0,0,0,-16,-15,56,17,39,6,30,20,0,71,22,49,10,42,19,0,15,193,38,20,2.70,5,411,-,-,-,2.23,0.13
כאבול,504,"1,988.80","14,473",-,-,99.90,99.90,-,-,"7,313","7,160",9.24,9.64,10.16,10.14,17.64,19.46,15.75,2.94,5.02,34.88,1.85,792,241,2.13,0.80,  ..,40,4.99,201,14.00,1.62,0.03,..,..,..,..,..,14,14,98,36,62,29,50,18,1,84,30,54,28,32,23,1,0,114,29.20,46,7.60,-,-,-,-,-,-,-
כאוכב אבו אל-היג'א,505,..,"3,724",-,-,99.90,100,-,-,"1,860","1,864",8.46,9.72,8.94,9.64,16.60,19.84,16.78,3.14,6.85,32.95,3.03,774,67,..,0.20,  ..,16,..,51,13.80,1.51,0.08,0,0,0,0,0,-2,-5,28,6,22,8,16,4,0,33,13,20,7,18,8,0,0,20,18.70,8,5.20,-,-,-,-,-,-,-
כוכב יאיר,"1,224","2,932.20","8,949",99.80,98.90,-,-,-,-,"4,511","4,438",5.79,7.59,7.86,8.06,14.29,13.64,21.22,7.38,14.17,26.18,3.39,769,83,..,0.20,  ..,24,3.86,59,6.67,2.45,6.50,10,30,40,10,20,155,141,574,281,293,274,46,243,11,433,216,217,63,200,142,28,227,28,9.80,29,7,-,-,-,-,-,-,-
כסיפה,"1,059","1,716.60","23,219",-,-,99.90,100,-,-,"11,624","11,595",17.44,14.65,12.93,11.40,17.47,14.82,7.80,1.27,2.22,51.81,0.75,"1,418",679,4.21,3.40,( 5.2),38,5.12,641,28.05,3.27,0,0,0,0,0,0,51,47,184,78,106,77,60,47,0,137,50,87,62,48,27,0,80,254,44.10,29,4.50,..,..,..,..,..,..,..
כסרא-סמיע,"1,296",643.40,"9,108",-,-,100,1.10,3.40,95.60,"4,627","4,481",9.97,9.86,9.54,10.06,18.68,21.04,13.72,2.45,4.69,35.38,1.75,789,169,..,1.20,( 6.5),36,5.90,133,14.72,1.59,0.02,0,0,0,0,0,9,9,70,14,56,16,36,18,0,61,15,46,13,33,15,0,18,148,66.70,14,3.50,-,-,-,-,-,-,-
כעביה-טבאש-חג'אג'רה,978,"3,576.20","5,732",-,-,99.70,100,-,-,"2,880","2,851",10.24,10.68,9.65,9.96,19.52,18.49,13.96,2.90,4.62,36.64,1.73,823,123,..,0.20,  ..,21,5.89,102,17.97,1.92,0,0,0,0,0,0,0,0,52,16,36,9,29,14,0,52,15,37,18,19,14,1,37,70,42.30,12,5.60,-,-,-,-,-,-,-
כפר ברא,633,..,"3,856",-,-,99.90,100,-,-,"1,926","1,930",12.03,10.24,9.78,10.68,20.90,16.68,13.38,2.44,3.89,38.15,1.48,874,102,..,0.60,  ..,4,..,98,25.75,2.72,0,0,0,0,0,0,0,0,31,9,22,14,15,2,0,31,10,21,11,15,5,0,5,60,56,14,9.70,-,-,-,-,-,-,-
כפר ורדים,"1,263","1,139.10","5,531",96.10,94.80,-,-,-,-,"2,689","2,842",3.85,6.73,9.02,8.90,13.99,12.87,20.61,6.00,18.01,24.84,5.68,870,35,..,   -,   -,35,4.50,0,0,0.72,8.39,6,16.67,33.33,33.33,16.67,64,35,325,166,159,110,35,148,32,290,152,138,52,81,129,28,122,10,5.10,25,10.30,..,..,..,..,..,..,..
כפר יאסיף,507,"3,161.10","10,323",-,-,99.80,44.80,52.60,2.60,"5,161","5,163",7.80,7.75,7.96,8.23,16.41,20.82,17.37,4.51,9.15,28.15,3.27,692,145,1.79,0.80,  ..,57,6.38,88,8.56,0.77,0.09,0,0,0,0,0,-9,-22,176,62,114,49,61,64,2,198,82,116,50,66,78,4,0,96,29.60,17,3.80,2,115,-,-,-,0.25,0.87
כפר יונה,168,"2,423.50","27,898",100,96.70,-,-,-,-,"13,843","14,055",9.09,9.59,9.59,7.77,11.52,21.08,17.46,4.22,9.67,33.05,2.91,842,447,2.52,0.60,  ..,79,3.90,368,13.61,6.55,9.96,37,21.62,18.92,35.14,24.32,"1,316","1,284","2,195","1,064","1,131",720,356,999,120,911,445,466,254,221,370,66,"1,171",158,20.70,103,9.70,4,131,0.14,-,-,0.32,0.04
כפר כמא,508,..,"3,479",-,-,99.60,100,-,-,"1,740","1,739",7.70,7.53,6.70,7.04,15.95,21.04,15.95,4.89,13.19,25.78,4.37,729,63,..,   -,   -,25,..,38,11.01,1.53,0.06,0,0,0,0,0,5,-3,11,6,5,1,3,4,3,14,4,10,1,10,3,0,0,32,33.80,6.70,3.90,-,-,-,-,-,-,-
כפר כנא,509,"2,357.20","23,705",-,-,99.90,90.40,9.50,0.10,"12,110","11,595",10.26,9.65,9.72,10.25,18.79,18.12,14.48,3.16,5.57,35.70,1.84,833,468,2.60,1.80,( 3.8),70,5.10,398,16.95,1.89,0,0,0,0,0,0,30,27,221,80,141,71,87,61,2,194,59,135,49,85,57,3,0,252,39.10,43,4.50,2,186,-,-,-,0.80,-
כפר מנדא,510,"1,910.90","21,073",-,-,100,99.90,-,-,"11,023","10,050",11.09,10.56,9.97,10.28,20.27,18.79,12.61,2.45,3.98,37.49,1.51,848,490,2.85,1.80,( 3.9),62,5.10,428,20.53,2.18,0.01,0,0,0,0,0,9,3,89,22,67,27,44,18,0,86,23,63,31,35,20,0,5,305,59,35,4,-,-,-,-,-,-,-
כפר סבא,"6,900","7,027.30","101,801",99.80,96.20,-,-,-,-,"49,137","52,664",7.09,8.34,7.76,6.65,9.55,18.53,17.22,4.73,20.14,27.41,8.48,999,"1,320",2.34,0.80,  ..,690,4.29,630,6.19,-0.03,11.81,170,29.41,26.47,14.12,30,-650,-804,"2,992","1,516","1,476",679,500,"1,463",350,"3,796","1,912","1,884",988,848,"1,686",274,"4,296",444,12.90,346,8,24,"2,936",1.44,0.82,-,0.46,0.17
כפר קאסם,634,"2,659.70","24,757",-,-,99.80,99.90,-,-,"12,683","12,074",10.82,10.03,9.97,10.46,19.12,17.91,14.48,2.78,4.43,36.94,1.49,842,542,2.81,2.60,( 4.9),78,6.23,464,18.93,2.06,0.04,..,..,..,..,..,1,-5,123,52,71,36,46,40,1,128,51,77,51,41,36,0,8,341,49.70,59,6.10,-,-,-,-,-,-,-
כפר קרע,654,"2,520.60","19,691",-,-,99.90,99.90,-,-,"9,972","9,719",9.26,8.76,9.29,9.09,18.06,19.75,15.75,3.75,6.28,32.77,2.13,745,373,2.35,0.80,  ..,72,5.65,301,15.44,2.06,0.05,0,0,0,0,0,82,78,235,84,151,94,78,63,0,157,58,99,49,65,43,0,7,258,45.30,43,5.30,-,-,-,-,-,-,-
כפר שמריהו,267,..,"1,948",99.10,96.60,-,-,-,-,944,"1,004",4.88,7.08,8.16,8.37,11.50,11.65,20.17,5.75,22.43,25.62,11.19,"1,038",17,..,   -,   -,17,..,0,0,1.18,11.19,7,42.86,0,14.29,42.86,30,18,122,49,73,36,25,56,5,104,52,52,21,30,47,6,56,8,11,5,6.20,..,..,..,..,..,..,..
כפר תבור,47,..,"4,425",99.40,97.80,-,-,-,-,"2,190","2,235",6.33,9.13,10.44,8.90,12.05,15.77,19.14,5.67,12.61,31.21,3.21,900,48,..,0.20,  ..,19,(4.3),29,6.57,0.56,5.24,..,..,..,..,..,22,29,228,119,109,76,47,95,10,199,100,99,39,66,82,12,199,16,12.40,12,6.30,-,-,-,-,-,-,-
כרמיאל,"1,139","2,102.20","46,311",96.20,82,-,-,-,-,"22,525","23,786",6.67,7.18,6.96,7.32,11.98,17.45,17.05,5.99,19.41,24.95,7.37,906,638,2.45,2.60,( 4.1),388,5.49,250,5.41,0.41,35.35,508,21.85,56.10,15.55,6.50,-74,-580,"1,103",580,523,244,298,470,91,"1,683",869,814,308,546,677,152,"3,456",223,13.10,183,9.40,14,"1,405",0.86,1,1.04,0.05,0.09
להבים,"1,271",625.60,"6,977",96.30,97.80,-,-,-,-,"3,446","3,530",5.68,7.75,8.53,8.49,14.52,13.92,19.36,4.92,16.84,27.15,6.15,897,68,..,   -,   -,20,2.39,48,7.02,4.23,5.62,4,75,25,0,0,274,261,538,249,289,189,57,198,94,277,134,143,70,91,101,15,250,29,14.10,23,7.50,..,..,..,..,..,..,..
לוד,"7,000","5,585.90","82,629",70.20,89.10,29.80,97,3,-,"41,078","41,551",11.82,10.64,8.44,7.26,14.30,17.58,13.71,3.93,12.32,35.37,5.10,"1,019","1,852",3.41,4.40, 2.6,501,5.58,"1,351",16.52,2.10,18.29,76,23.68,34.21,26.32,15.79,230,128,"2,914","1,462","1,452","1,145",935,724,110,"2,786","1,404","1,382",937,633,"1,040",176,"3,226",627,24.60,267,8.90,15,"1,194",0.48,0.17,0.46,0.32,0.04
לקיה,"1,060","2,158.20","15,295",-,-,99.90,100,-,-,"7,655","7,639",16.59,14.13,12.05,11.57,17.48,15.02,9.25,1.43,2.48,49.84,0.90,"1,316",581,5.63,5.40, 9.9,30,5.49,551,36.81,4.46,0.01,..,..,..,..,..,63,55,168,68,100,80,46,41,1,113,41,72,61,27,25,0,43,222,59.20,24,5.50,-,-,-,-,-,-,-
מבשרת ציון,"1,015","3,953","24,943",99.60,96.70,-,-,-,-,"12,294","12,649",8.26,7.66,7.40,7.07,12.79,18.02,16.47,5.55,16.77,27.69,6.40,893,404,2.72,0.60,  ..,116,3.21,288,11.71,2.87,7.39,24,37.50,20.83,25,16.67,399,356,"1,592",760,832,527,306,694,65,"1,236",624,612,316,305,480,135,836,152,18.90,78,7.40,5,210,-,0.39,-,0.44,0.04
