שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",יהודים ואחרים (אחוזים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
אכסאל,478,"1,635.30","15,335.97",-,-,99.90,100,-,-,"7,904","7,432",9.30,9.60,9.40,10.10,19.09,18.75,15.23,3.20,5.40,34.30,1.60,778,258,2.10,0.20,  ..,50,5.92,208,13.65,1.25,-,-,-,-,-,-,-6,-5,85,18,67,20,40,25,-,90,39,51,31,39,19,..,..,203,47.60,41,6.40
אליכין,41,..,"3,461.71",100,99,-,-,-,-,"1,736","1,726",7.40,7.20,8.10,8.50,14.33,15.83,19.15,6.20,13.30,27.40,5.30,802,50,..,-,   -,24,(5.2),26,7.51,0.02,2.80,..,..,..,..,..,-32,-28,117,57,60,36,22,50,..,145,62,83,46,40,48,11,77,34,26.90,17,12.30
אלעד,"1,309","14,189.60","49,487.43",100,100,-,-,-,-,"24,804","24,683",13.60,14.60,15.70,14.10,14.12,15.83,9.01,1.10,2,52.40,0.60,"1,494","1,366",4.80,2.80,( 2.0),47,3.44,"1,319",26.62,-0.21,2.40,11,36.36,45.45,-,18.18,-914,-913,916,538,378,349,382,162,23,"1,827",999,828,672,752,369,34,"1,808",760,69.30,119,7.50
אלפי מנשה,"3,750",..,"7,975.12",100,96.10,-,-,-,-,"4,020","3,955",6,8.20,10.90,9.70,12.18,16.01,21.44,4.50,11.20,31.20,2.70,848,82,..,0.60,  ..,25,4.26,57,7.15,0.11,8.20,22,31.82,27.27,31.82,9.09,-26,-48,304,165,139,95,54,143,12,352,171,181,69,94,160,29,258,36,14,35,10.60
אלקנה,"3,560",..,"4,300.79",100,99.80,-,-,-,-,"2,126","2,175",12.10,10.80,9.80,7.70,13.95,17.51,11.09,3.60,13.40,37.90,5.40,"1,170",112,..,0.60,  ..,17,(2.6),95,22.69,5.62,3.10,..,..,..,..,..,125,121,376,196,180,154,102,114,..,261,126,135,112,56,83,10,276,36,44.90,..,4.20
אעבלין,529,"1,150.10","13,842.51",-,-,99.90,58.20,41.80,-,"6,966","6,877",8,8.60,9.10,9.40,17.48,19.37,16.88,4.10,7.10,31.30,2.40,728,203,1.93,0.80,  ..,43,5.65,160,11.62,1.10,-,-,-,-,-,-,24,23,130,46,84,55,51,24,-,107,44,63,31,32,44,-,..,161,37.80,16,2.80
אפרת,"3,650",..,"11,853.27",100,99.70,-,-,-,-,"6,082","5,771",11,12.90,12.10,10.30,12.47,18.66,11.00,3.50,8.10,43,2.30,"1,194",228,3.05,0.40,  ..,36,4.67,192,16.23,0.41,21.80,116,30.17,24.14,18.10,27.59,-56,-168,360,176,184,141,88,116,15,528,279,249,153,207,147,21,454,123,45,40,8.70
אריאל,"3,570",..,"20,520.06",96.60,80.70,-,-,-,-,"10,298","10,222",6.70,7.60,6.90,5.20,21.77,17.56,15.31,5.50,13.50,24,5.20,662,231,1.73,0.60,  ..,116,4.81,115,5.73,4.45,32.50,229,19.65,45.85,21.40,13.10,144,-73,745,396,349,145,298,247,55,817,411,406,172,285,302,58,885,142,19.10,67,8.50
אשדוד,70,"4,809","226,826.95",99.80,88.90,-,-,-,-,"110,949","115,878",8.80,8.90,8.30,7.40,13.30,16.54,16.16,4.90,15.80,30.40,7,964,"4,359",3.24,12, 2.7,"1,640",5,"2,719",12.01,0.38,28.20,"3,106",27.04,37.83,23.02,12.11,"-1,419","-4,747","4,188","2,217","1,971","1,181","1,074","1,565",368,"8,935","4,605","4,330","3,066","2,466","2,901",502,"13,649","2,615",35.40,746,8
אשקלון,"7,100","3,376","153,138.26",99.70,85.20,-,-,-,-,"74,424","78,715",8.30,8.60,7.50,6,12.40,19.64,15.76,5.30,16.50,28,6.90,883,"2,393",2.42,5, 2.0,"1,187",5.18,"1,206",7.98,2.67,29.40,"1,791",23.84,39.20,22.84,14.13,"2,932",667,"5,316","2,637","2,679","1,244","1,142","2,323",607,"4,648","2,334","2,314","1,377","1,171","1,821",279,"11,410","1,296",25,668,11.20
באקה אל-גרביה,"6,000","3,517.40","31,397.34",-,-,99.90,100,-,-,"15,857","15,541",9,9.40,9.70,10.30,18.00,19.00,15.28,3.30,5.90,34.20,2,798,546,2.24,3,( 5.4),125,6.77,421,13.50,1.37,-,-,-,-,-,-,29,19,242,72,170,85,103,54,-,223,77,146,79,96,48,-,37,334,36.10,75,6
באר יעקב,"2,530","3,311","31,324.79",99.60,96.10,-,-,-,-,"15,932","15,393",11.50,13.30,9.80,6.80,9.64,24.70,13.23,3,8.10,38.40,2.40,979,478,2.22,-,   -,60,3.42,418,13.67,4.93,10.70,93,21.51,40.86,13.98,23.66,"1,180","1,094","2,406","1,222","1,184",834,368,"1,074",130,"1,312",633,679,471,210,562,69,"1,220",192,27.30,118,9.70
באר שבע,"9,000","1,824.30","214,161.74",96.90,87.70,-,-,-,-,"104,957","109,205",7.90,7.90,7,6.30,14.03,19.21,15.60,5.40,16.60,26.60,6.90,843,"3,205",2.26,8.80, 2.6,"1,642",5.46,"1,563",7.35,1.38,25.60,"2,302",25.93,43.57,20.20,10.30,"1,390","-1,360","5,484","2,753","2,731","1,286","1,905","1,922",371,"6,844","3,446","3,397","1,764","1,913","2,762",405,"16,313","1,879",23,862,10.60
בועיינה-נוג'ידאת,482,"1,437.10","10,288.57",-,-,99.90,99.90,0.10,-,"5,343","4,946",9.30,10.10,9.70,9.70,18.62,20.84,14.41,2.70,4.70,34.60,1.70,767,192,2.29,0.60,  ..,30,5.21,162,15.86,1.49,-,-,-,-,-,-,1,4,65,22,43,18,23,24,-,61,16,45,11,28,22,-,30,137,46.60,19,4.60
בוקעאתא,"4,001",348.30,"6,805.30",-,-,100,-,-,100,"3,460","3,346",6.90,7.80,8.80,9.20,17.00,20.54,18.56,3.80,7.40,29.20,2.50,670,72,..,-,   -,23,6.10,49,7.23,0.79,-,..,-,-,-,-,6,7,32,..,25,..,20,10,-,25,..,17,..,11,13,-,-,89,45,11,3.60
ביר אל-מכסור,998,"1,729.50","10,174.87",-,-,100,100,-,-,"5,148","5,027",9.90,10.10,9.80,9.10,18.35,19.41,14.50,3.20,5.70,35.20,2.20,805,204,2.57,0.20,  ..,33,4.42,171,16.99,2.17,-,-,-,-,-,-,48,48,77,26,51,23,32,22,-,29,..,21,..,14,12,-,-,102,36.30,17,4.20
בית אל,"3,574",..,"6,107.76",100,99.80,-,-,-,-,"3,297","2,810",11.70,9.70,10,20.60,19.83,9.97,9.54,2.60,6.10,44.10,2.10,"1,386",195,..,-,   -,8,3.54,187,31.72,7.51,6.40,10,10,50,10,30,-61,-58,264,126,138,99,107,47,11,322,156,166,126,141,51,..,132,108,61,12,5.90
בית אריה-עופרים,"3,652",..,"5,516.52",99.80,95.70,-,-,-,-,"2,795","2,721",7.40,9.60,10.30,9.20,13.61,17.33,19.90,4.40,8.20,32.80,2,808,83,..,0.40,  ..,9,3.40,74,13.55,2.00,6.90,..,..,..,..,..,25,24,300,165,135,86,58,147,..,276,142,134,76,73,99,28,236,61,36.60,23,10.60
בית ג'ן,480,"1,726.30","12,432.92",-,-,100,0.10,-,99.90,"6,280","6,153",7.70,7.60,7.90,8.10,17.48,22.32,16.86,4.20,7.80,27.90,3.10,642,196,1.89,0.20,  ..,43,4.41,153,12.37,1.02,-,-,-,-,-,-,-1,-4,62,18,44,12,24,26,-,66,14,52,13,22,29,..,..,179,47.80,27,4.80
בית דגן,466,"5,526.80","7,823.48",99.90,97.30,-,-,-,-,"3,901","3,923",7.60,7.30,8,8,14.11,17.61,19.74,5,12.70,27.50,5,771,96,..,0.20,  ..,34,4.15,62,8.02,2.35,5.70,..,..,..,..,..,119,113,414,205,209,144,77,176,17,301,158,143,85,81,107,28,133,69,25.10,33,10.90
בית שאן,"9,200","1,738.90","19,072.80",99.10,98,-,-,-,-,"9,573","9,499",9.60,8.50,8,7.20,15.28,18.28,15.55,5.30,12.20,30.30,3.90,838,438,3.37,0.60,  ..,119,6.15,319,16.80,0.92,5.20,16,-,37.50,43.75,18.75,-68,-83,508,252,256,139,182,170,17,591,318,273,205,142,219,25,"1,365",301,45.70,94,12.80
בית שמש,"2,610","4,040.10","154,694.12",99.90,98.80,-,-,-,-,"77,777","76,917",18.30,15.60,12.40,9,15.22,15.73,8.18,1.70,3.80,52.10,1.50,"1,448","5,455",5.61,17, 3.7,285,4.92,"5,170",34.88,9.12,13.90,883,43.04,30.46,10.87,15.63,"8,196","7,317","11,674","6,071","5,603","6,034","3,629","1,853",158,"4,357","2,366","1,991","1,805","1,482",939,131,"11,286","1,922",71.50,300,6.30
ביתר עילית,"3,780",..,"64,015.88",100,100,-,-,-,-,"31,851","32,165",18.80,16.90,15.30,11,14.50,14.07,7.12,0.90,1.30,58.50,0.40,"1,735","2,597",6.64,6.20, 2.5,44,5.09,"2,553",40.13,1.26,4,85,34.12,32.94,10.59,22.35,"-1,706","-1,766","1,872","1,018",854,901,643,296,32,"3,638","1,995","1,643","1,824","1,283",513,18,"3,674","1,115",113.70,115,5.80
בני ברק,"6,100","29,714.40","218,357.32",99.90,99.40,-,-,-,-,"112,181","106,176",16.50,13.90,11.50,10.40,15.43,15.54,7.81,2.10,6.70,48.20,2.70,"1,445","8,059",5.87,22.60, 2.9,606,5.15,"7,453",34.60,2.81,3.50,213,30.52,49.30,9.39,10.80,"-2,329","-2,586","5,049","2,847","2,202","2,014","1,952",946,137,"7,637","4,183","3,454","3,024","2,794","1,567",252,"12,563","3,586",79.10,358,4.60
"בני עי""ש","1,066","3,475.60","6,880.68",99.20,81.10,-,-,-,-,"3,320","3,560",7.30,6.80,6,5.30,12.70,16.58,17.85,6.80,20.70,23.20,9.90,856,101,..,-,   -,67,5.19,34,4.94,-0.21,41.10,34,29.41,50,14.71,5.88,-19,-67,237,115,122,61,52,95,29,304,143,161,85,68,124,27,125,56,22.40,38,12.50
בנימינה-גבעת עדה,"9,800",667.40,"16,281.10",99.80,96.50,-,-,-,-,"8,156","8,125",6.20,8.90,11.10,10,11.25,16.85,22.19,4.10,9.50,32.20,3.60,840,158,2.02,-,   -,55,4.38,103,6.37,1.28,7.20,15,13.33,66.67,13.33,6.67,118,81,617,331,286,219,84,299,15,536,268,268,122,143,245,26,557,69,12.70,75,12.10
"בסמ""ה","1,326","1,896.50","10,742.79",-,-,100,100,-,-,"5,511","5,232",10.20,10.10,10.20,9.90,19.56,18.41,13.88,2.80,5,36.20,1.80,828,270,3.05,2,( 8.2),26,5.27,244,22.98,2.34,-,..,-,-,-,-,25,13,85,27,58,18,51,16,-,72,15,57,19,36,17,-,18,199,69.60,13,3
בסמת טבעון,944,"2,011.20","8,145.25",-,-,99.80,100,-,-,"4,048","4,097",8.70,8.90,9,9.50,18.69,18.70,16.65,3.70,6.20,32.20,2.40,732,149,..,-,   -,25,5.32,124,15.30,0.95,-,-,-,-,-,-,-44,-42,54,24,30,28,12,13,..,96,29,67,29,40,26,..,26,109,40.20,26,8.20
בענה,483,"2,495.30","8,628.85",-,-,99.80,92.60,7.40,-,"4,342","4,286",7.90,8.90,9,10,19.74,19.10,16.21,3.40,5.70,31.90,2.10,711,133,..,0.40,  ..,31,5.32,102,11.88,1.08,-,-,-,-,-,-,-10,-10,91,33,58,20,43,27,..,101,31,70,30,39,31,..,..,96,33.90,19,5.60
בת ים,"6,200","15,676.60","128,465.49",99.10,76.30,-,-,-,-,"61,466","67,000",5.70,6.10,5.60,5,10.68,19.74,18.41,5.90,22.90,20.40,10.60,828,"1,460",1.98,3.20,( 2.0),"1,671",5.88,-211,-1.66,1.72,38,"4,033",23.33,44.66,22.04,9.97,"2,577","-1,683","4,856","2,406","2,450",927,"1,093","2,309",527,"6,539","3,200","3,339","1,596","1,387","2,879",677,"6,763",858,16,564,11.10
גבעת זאב,"3,730",..,"21,097.16",99.90,99.20,-,-,-,-,"10,563","10,534",15.40,14.10,11.60,6.90,14.07,17.40,9.62,3.30,7.70,45.30,2.60,"1,254",629,4.50,2,( 3.4),61,3.40,568,27.62,5.31,7.70,73,20.55,50.68,16.44,12.33,576,534,"1,768",936,832,757,525,445,41,"1,234",645,589,475,336,349,74,"1,168",269,65,79,10.30
גבעת שמואל,681,"11,269.80","28,994.40",99.80,98.70,-,-,-,-,"14,476","14,519",9.20,9.60,9.40,7.80,13.11,18.58,15.78,3.40,13.20,33.20,6.10,965,529,2.90,0.20,  ..,131,3.75,398,13.93,2.96,9.90,98,14.29,56.12,15.31,14.29,576,496,"1,639",853,786,383,519,608,129,"1,143",567,576,307,387,377,72,"1,465",359,44.90,82,7
גבעתיים,"6,300","19,098.50","61,924.14",99.90,96.30,-,-,-,-,"29,762","32,162",7.40,6.90,6.10,4.90,11.84,25.97,16.93,3.80,16.20,23.50,8.40,709,941,1.81,0.20,  ..,478,4.51,463,7.52,1.05,8.80,230,23.04,44.78,18.70,13.48,214,24,"4,152","2,096","2,056",510,"1,433","2,005",204,"4,128","2,058","2,070",880,775,"2,227",246,"2,881",642,24.90,204,9
ג'דיידה-מכר,"1,292","2,377.30","21,616.59",-,-,99.80,92.90,7.10,-,"10,920","10,697",8.20,8.40,8.50,9.70,18.56,18.47,17.93,4,6.20,30.80,2.20,695,318,1.96,1.40,( 4.2),87,6.69,231,10.71,0.51,-,..,-,-,-,-,-84,-79,164,67,97,39,64,58,..,243,83,160,67,96,76,..,39,261,36.80,73,8.30
גדרה,"2,550","2,749.80","31,437.54",99.60,97.30,-,-,-,-,"15,233","16,205",7.50,9.30,10.30,10.80,11.73,17.42,18.89,3.20,10.90,34,5.20,952,402,2.39,0.60,  ..,115,3.77,287,9.28,3.44,8.70,36,13.89,44.44,13.89,27.78,819,793,"1,564",780,784,598,215,645,106,771,384,387,180,264,290,37,"1,060",206,20.60,98,8.60
ג'ולס,485,"1,673.10","6,737.75",-,-,100,0.30,-,99.70,"3,417","3,320",7.60,7.10,7.40,8,17.84,21.88,17.97,4.70,7.60,26.80,2.80,604,94,..,0.20,  ..,25,5.30,69,10.30,1.21,-,-,-,-,-,-,42,39,57,16,41,19,27,11,-,18,..,15,-,..,11,-,..,99,50.20,26,8.20
ג'לג'וליה,627,"4,294","10,608.71",-,-,98.60,100,-,-,"5,431","5,178",10.20,10.20,9.60,10.30,18.80,16.88,14.58,3.10,6.40,35.80,2.70,872,215,2.83,0.60,  ..,39,5.51,176,16.69,1.23,0.50,-,-,-,-,-,-34,-39,50,18,32,19,16,13,..,89,36,53,34,33,22,-,..,172,51.40,43,11
גן יבנה,166,"2,147.20","24,574.11",99.70,96.40,-,-,-,-,"12,448","12,127",5.90,8.10,9.80,10.40,15.57,15.22,21.71,4.60,8.70,30.10,3.10,752,290,2.18,0.80,  ..,72,3.99,218,8.93,1.33,9.40,48,33.33,31.25,27.08,8.33,50,9,988,531,457,382,152,416,38,979,490,489,252,280,386,61,513,260,32.40,97,9.60
גני תקווה,229,"10,958","23,646.00",99.90,98.30,-,-,-,-,"11,466","12,180",8.40,10.20,9.30,7.70,9.30,18.16,17.59,3.70,15.70,32.70,7.10,"1,051",316,2.56,0.20,  ..,108,3.48,208,8.98,4.20,5.50,31,32.26,32.26,25.81,9.68,739,695,"1,417",674,743,453,203,607,154,717,350,367,153,202,289,73,824,127,19.70,72,7.60
ג'סר א-זרקא,541,"9,396.60","15,502.05",-,-,99.90,100,-,-,"7,736","7,766",10.80,11.30,10.50,10.60,18.59,19.58,12.94,2.40,3.50,38.70,0.90,869,292,2.40,2.60,( 7.5),56,8.24,236,15.32,1.22,-,-,-,-,-,-,-34,-44,66,31,35,29,22,15,-,110,39,71,39,42,29,-,..,181,37.70,44,8.20
ג'ש (גוש חלב),487,..,"3,215.71",-,-,98.50,36.90,62.80,-,"1,570","1,645",6.50,6.80,7.40,7.70,15.61,19.28,18.47,5,13.20,25,7.10,712,42,..,-,   -,17,(4.9),25,7.85,1.97,0.60,-,-,-,-,-,-13,-10,39,11,28,..,15,13,..,49,21,28,19,11,18,..,-,41,38.20,..,3.60
ג'ת,628,"1,638.30","12,644.98",-,-,99.90,100,-,-,"6,434","6,211",9.50,9.10,8.80,8.70,17.71,19.72,15.04,4.30,7.10,32.40,2.30,762,251,2.53,0.40,  ..,40,5.59,211,16.80,1.38,0.10,-,-,-,-,-,-27,-24,114,44,70,50,39,25,-,138,44,94,52,52,34,-,..,161,45.80,27,5
דאלית אל-כרמל,494,"1,731.90","18,190.21",-,-,99.60,2.90,-,97.10,"9,240","8,950",7.30,7.60,7.70,7.90,15.05,21.78,19.17,4.70,8.90,27.20,2.90,648,243,1.79,0.20,  ..,80,5.27,163,8.99,0.72,0.20,..,..,..,..,..,-2,-4,132,46,86,45,35,48,..,136,49,87,49,41,44,..,181,224,44.70,62,7.10
דבורייה,489,"1,925.10","10,831.01",-,-,99.80,99.80,0.20,-,"5,541","5,290",8.80,9,8.70,9.70,17.72,18.03,16.86,3.80,7.40,32.10,2.90,773,154,1.91,0.40,  ..,44,5.14,110,10.18,0.45,0.10,..,..,..,..,..,-53,-53,99,43,56,40,28,31,-,152,63,89,60,40,52,-,10,99,30.20,20,4.40
דייר אל-אסד,490,"2,536.50","13,078.11",-,-,100,99.90,0.10,-,"6,706","6,372",8.80,9.50,9.40,10.30,18.34,19.51,15.08,3.30,5.80,33.70,2,780,218,2.14,0.40,  ..,35,5.65,183,14.07,1.11,-,-,-,-,-,-,-30,-31,77,20,57,13,40,24,-,108,42,66,26,43,37,..,..,184,46.70,18,3.50
דייר חנא,492,"1,205.10","10,747.49",-,-,99.90,89.90,10.10,-,"5,413","5,335",7.60,8.50,8.70,8.90,18.20,20.45,16.72,3.90,7,30,2.70,687,191,2.18,0.60,  ..,32,4.95,159,14.90,1.40,-,-,-,-,-,-,-7,-7,73,18,55,17,42,12,..,80,28,52,34,22,24,-,-,149,46.60,27,5.80
דימונה,"2,200",166.80,"36,775.65",99.20,90.30,-,-,-,-,"18,298","18,478",8.70,8.50,7.50,7.60,14.71,18.63,16.43,4.90,13.10,29.30,5.10,829,722,2.96,3.20,( 4.7),273,6.41,449,12.36,2.46,15.10,94,26.60,30.85,22.34,20.21,468,371,"1,393",719,674,414,520,412,47,"1,020",516,504,274,257,426,63,"2,460",471,34.10,199,15.20
הוד השרון,"9,700","3,405.60","65,613.89",99.90,97.70,-,-,-,-,"31,888","33,726",7.10,8.60,8.60,7.80,10.56,17.52,19.96,4.60,15.30,29.10,6.30,900,714,1.97,2.20,( 2.6),306,3.73,408,6.23,0.38,7.10,115,29.57,34.78,23.48,12.17,-143,-227,"2,095","1,030","1,065",535,361,"1,001",198,"2,315","1,141","1,174",518,665,993,139,"2,462",383,17.60,267,9.90
